Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,704326107,PAYX ,"4,538,461","445,767,639.42",0.271,Paychex Inc,Common Stock,Information Technology,04/21/2021
QQQ,679295105,OKTA ,"1,525,506","418,812,417.24",0.254,Okta Inc,Common Stock,Information Technology,04/21/2021
QQQ,64110W102,NTES ,"3,770,532","410,724,050.76",0.250,NetEase Inc ADR,American Depository Receipt,Communication Services,04/21/2021
QQQ,693718108,PCAR ,"4,366,140","408,801,688.20",0.248,PACCAR Inc,Common Stock,Industrials,04/21/2021
QQQ,573874104,MRVL ,"8,454,429","401,416,288.92",0.244,MARVELL TECHNOLOGY INC,Common Stock,Information Technology,04/21/2021
QQQ,03662Q105,ANSS ,"1,091,717","399,437,415.96",0.243,ANSYS Inc,Common Stock,Information Technology,04/21/2021
QQQ,983919101,XLNX ,"3,086,780","391,866,721.00",0.238,Xilinx Inc,Common Stock,Information Technology,04/21/2021
QQQ,83088M102,SWKS ,"2,075,229","387,279,235.98",0.235,Skyworks Solutions Inc,Common Stock,Information Technology,04/21/2021
QQQ,92345Y106,VRSK ,"2,048,716","379,790,972.08",0.231,Verisk Analytics Inc,Common Stock,Industrials,04/21/2021
QQQ,G06242104,TEAM ,"1,674,032","379,302,170.56",0.230,Atlassian Corp PLC,Common Stock,Information Technology,04/21/2021
QQQ,311900104,FAST ,"7,227,981","376,288,690.86",0.229,Fastenal Co,Common Stock,Industrials,04/21/2021
QQQ,217204106,CPRT ,"2,973,969","364,459,900.95",0.221,Copart Inc,Common Stock,Industrials,04/21/2021
QQQ,256746108,DLTR ,"2,959,857","345,326,516.19",0.210,Dollar Tree Inc,Common Stock,Consumer Discretionary,04/21/2021
QQQ,81181C104,SGEN ,"2,279,922","336,265,695.78",0.204,Seagen Inc,Common Stock,Health Care,04/21/2021
QQQ,82968B103,SIRI ,"52,100,821","332,924,246.19",0.202,Sirius XM Holdings Inc,Common Stock,Communication Services,04/21/2021
QQQ,70614W100,PTON ,"3,317,827","331,550,452.11",0.201,Peloton Interactive Inc,Common Stock,Consumer Discretionary,04/21/2021
QQQ,12514G108,CDW ,"1,774,338","322,627,878.54",0.196,CDW Corp/DE,Common Stock,Information Technology,04/21/2021
QQQ,57772K101,MXIM ,"3,373,223","320,017,666.01",0.194,Maxim Integrated Products Inc,Common Stock,Information Technology,04/21/2021
QQQ,92343E102,VRSN ,"1,423,250","300,462,307.50",0.183,VeriSign Inc,Common Stock,Information Technology,04/21/2021
QQQ,156782104,CERN ,"3,854,684","292,531,968.76",0.178,Cerner Corp,Common Stock,Health Care,04/21/2021
QQQ,848637104,SPLK ,"2,035,209","272,188,851.66",0.165,Splunk Inc,Common Stock,Information Technology,04/21/2021
QQQ,89677Q107,TCOM ,"6,630,206","252,279,338.30",0.153,Trip.com Group Ltd ADR,American Depository Receipt,Consumer Discretionary,04/21/2021
QQQ,45337C102,INCY ,"2,766,705","234,395,247.60",0.142,Incyte Corp,Common Stock,Health Care,04/21/2021
QQQ,M22465104,CHKP ,"1,764,382","211,337,675.96",0.128,Check Point Software Technologies Ltd,Common Stock,Information Technology,04/21/2021
QQQ,35137L105,FOXA ,"4,207,727","162,460,339.47",0.099,Fox Corp,Common Stock,Communication Services,04/21/2021
QQQ,35137L204,FOX ,"3,224,154","120,454,393.44",0.073,Fox Corp,Common Stock,Communication Services,04/21/2021
