Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,037833100,AAPL ,"138,839,680","18,535,097,280.00",11.261,Apple Inc,Common Stock,Information Technology,04/21/2021
QQQ,594918104,MSFT ,"62,375,033","16,253,686,099.14",9.875,Microsoft Corp,Common Stock,Information Technology,04/21/2021
QQQ,023135106,AMZN ,"4,164,566","14,001,354,183.32",8.507,Amazon.com Inc,Common Stock,Consumer Discretionary,04/21/2021
QQQ,88160R101,TSLA ,"9,823,630","7,309,959,555.60",4.441,Tesla Inc,Common Stock,Consumer Discretionary,04/21/2021
QQQ,02079K107,GOOG ,"2,708,952","6,212,412,532.08",3.774,Alphabet Inc,Common Stock,Communication Services,04/21/2021
QQQ,30303M102,FB ,"19,893,326","5,997,240,989.22",3.644,Facebook Inc,Common Stock,Communication Services,04/21/2021
QQQ,02079K305,GOOGL ,"2,487,163","5,666,627,821.05",3.443,Alphabet Inc,Common Stock,Communication Services,04/21/2021
QQQ,67066G104,NVDA ,"7,802,607","4,794,077,792.94",2.913,NVIDIA Corp,Common Stock,Information Technology,04/21/2021
QQQ,70450Y103,PYPL ,"14,739,051","3,904,227,219.39",2.372,PayPal Holdings Inc,Common Stock,Information Technology,04/21/2021
QQQ,458140100,INTC ,"51,132,067","3,257,112,667.90",1.979,Intel Corp,Common Stock,Information Technology,04/21/2021
QQQ,20030N101,CMCSA ,"57,527,839","3,144,184,845.93",1.910,Comcast Corp,Common Stock,Communication Services,04/21/2021
QQQ,00724F101,ADBE ,"6,024,349","3,086,514,966.66",1.875,Adobe Inc,Common Stock,Information Technology,04/21/2021
QQQ,64110L106,NFLX ,"5,573,717","2,836,464,581.30",1.723,Netflix Inc,Common Stock,Communication Services,04/21/2021
QQQ,17275R102,CSCO ,"53,130,352","2,759,059,179.36",1.676,Cisco Systems Inc/Delaware,Common Stock,Information Technology,04/21/2021
QQQ,713448108,PEP ,"17,362,090","2,551,879,988.20",1.550,PepsiCo Inc,Common Stock,Consumer Staples,04/21/2021
QQQ,11135F101,AVGO ,"5,137,417","2,362,132,962.43",1.435,Broadcom Inc,Common Stock,Information Technology,04/21/2021
QQQ,882508104,TXN ,"11,581,019","2,187,654,489.10",1.329,Texas Instruments Inc,Common Stock,Information Technology,04/21/2021
QQQ,22160K105,COST ,"5,574,478","2,085,356,475.02",1.267,Costco Wholesale Corp,Common Stock,Consumer Staples,04/21/2021
QQQ,872590104,TMUS ,"15,640,474","2,066,419,424.88",1.255,T-Mobile US Inc,Common Stock,Communication Services,04/21/2021
QQQ,747525103,QCOM ,"14,296,320","1,947,015,820.80",1.183,QUALCOMM Inc,Common Stock,Information Technology,04/21/2021
QQQ,031162100,AMGN ,"7,268,584","1,880,964,167.52",1.143,Amgen Inc,Common Stock,Health Care,04/21/2021
QQQ,855244109,SBUX ,"14,816,119","1,729,633,732.06",1.051,Starbucks Corp,Common Stock,Consumer Discretionary,04/21/2021
QQQ,16119P108,CHTR ,"2,438,094","1,591,831,572.60",0.967,Charter Communications Inc,Common Stock,Communication Services,04/21/2021
QQQ,038222105,AMAT ,"11,548,692","1,559,650,854.60",0.948,Applied Materials Inc,Common Stock,Information Technology,04/21/2021
QQQ,461202103,INTU ,"3,446,243","1,409,341,074.85",0.856,Intuit Inc,Common Stock,Information Technology,04/21/2021
QQQ,46120E602,ISRG ,"1,481,439","1,320,525,095.82",0.802,Intuitive Surgical Inc,Common Stock,Health Care,04/21/2021
QQQ,595112103,MU ,"14,078,286","1,259,865,814.14",0.765,Micron Technology Inc,Common Stock,Information Technology,04/21/2021
QQQ,007903107,AMD ,"15,244,326","1,244,089,444.86",0.756,Advanced Micro Devices Inc,Common Stock,Information Technology,04/21/2021
QQQ,09857L108,BKNG ,"515,508","1,215,428,676.84",0.738,Booking Holdings Inc,Common Stock,Consumer Discretionary,04/21/2021
QQQ,512807108,LRCX ,"1,798,506","1,153,291,972.50",0.701,Lam Research Corp,Common Stock,Information Technology,04/21/2021
QQQ,609207105,MDLZ ,"17,771,185","1,058,629,490.45",0.643,Mondelez International Inc,Common Stock,Consumer Staples,04/21/2021
QQQ,375558103,GILD ,"15,813,997","1,056,216,859.63",0.642,Gilead Sciences Inc,Common Stock,Health Care,04/21/2021
QQQ,337738108,FISV ,"8,425,131","1,051,624,851.42",0.639,Fiserv Inc,Common Stock,Information Technology,04/21/2021
QQQ,053015103,ADP ,"5,385,559","1,046,467,969.29",0.636,Automatic Data Processing Inc,Common Stock,Information Technology,04/21/2021
QQQ,58733R102,MELI ,"627,576","989,681,076.24",0.601,MercadoLibre Inc,Common Stock,Consumer Discretionary,04/21/2021
QQQ,126408103,CSX ,"9,595,995","985,412,726.55",0.599,CSX Corp,Common Stock,Industrials,04/21/2021
QQQ,98980L101,ZM ,"2,947,863","951,452,261.88",0.578,Zoom Video Communications Inc,Common Stock,Information Technology,04/21/2021
QQQ,00507V109,ATVI ,"9,750,137","908,517,765.66",0.552,Activision Blizzard Inc,Common Stock,Communication Services,04/21/2021
QQQ,60770K107,MRNA ,"5,030,993","852,753,313.50",0.518,Moderna Inc,Common Stock,Health Care,04/21/2021
QQQ,052769106,ADSK ,"2,767,287","799,386,195.69",0.486,Autodesk Inc,Common Stock,Information Technology,04/21/2021
QQQ,47215P106,JD ,"10,453,947","791,572,866.84",0.481,JD.com Inc ADR,American Depository Receipt,Consumer Discretionary,04/21/2021
QQQ,452327109,ILMN ,"1,836,146","740,572,766.18",0.450,Illumina Inc,Common Stock,Health Care,04/21/2021
QQQ,032654105,ADI ,"4,642,422","734,848,978.38",0.446,Analog Devices Inc,Common Stock,Information Technology,04/21/2021
QQQ,056752108,BIDU ,"3,415,102","733,017,493.28",0.445,Baidu Inc ADR,American Depository Receipt,Communication Services,04/21/2021
QQQ,92532F100,VRTX ,"3,271,567","718,959,563.92",0.437,Vertex Pharmaceuticals Inc,Common Stock,Health Care,04/21/2021
QQQ,N6596X109,NXPI ,"3,486,124","701,164,120.12",0.426,NXP Semiconductors NV,Common Stock,Information Technology,04/21/2021
QQQ,75886F107,REGN ,"1,324,932","671,051,559.36",0.408,Regeneron Pharmaceuticals Inc,Common Stock,Health Care,04/21/2021
QQQ,61174X109,MNST ,"6,643,720","651,018,122.80",0.396,Monster Beverage Corp,Common Stock,Consumer Staples,04/21/2021
QQQ,482480100,KLAC ,"1,938,990","643,337,492.10",0.391,KLA Corp,Common Stock,Information Technology,04/21/2021
QQQ,49271V100,KDP ,"17,710,159","643,055,873.29",0.391,Keurig Dr Pepper Inc,Common Stock,Consumer Staples,04/21/2021
QQQ,N07059210,ASML ,"978,251","641,233,747.99",0.390,ASML Holding NV,American Depository Receipt - NY,Information Technology,04/21/2021
QQQ,500754106,KHC ,"15,393,417","640,058,278.86",0.389,Kraft Heinz Co/The,Common Stock,Consumer Staples,04/21/2021
QQQ,016255101,ALGN ,"995,842","613,518,339.36",0.373,Align Technology Inc,Common Stock,Health Care,04/21/2021
QQQ,571903202,MAR ,"4,082,678","591,008,467.28",0.359,Marriott International Inc/MD,Common Stock,Consumer Discretionary,04/21/2021
QQQ,931427108,WBA ,"10,873,791","587,728,403.55",0.357,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,04/21/2021
QQQ,45168D104,IDXX ,"1,075,056","581,691,300.48",0.353,IDEXX Laboratories Inc,Common Stock,Health Care,04/21/2021
QQQ,778296103,ROST ,"4,486,055","571,388,825.35",0.347,Ross Stores Inc,Common Stock,Consumer Discretionary,04/21/2021
QQQ,98138H101,WDAY ,"2,265,226","569,976,166.12",0.346,Workday Inc,Common Stock,Information Technology,04/21/2021
QQQ,30161N101,EXC ,"12,286,991","561,269,748.88",0.341,Exelon Corp,Common Stock,Utilities,04/21/2021
QQQ,722304102,PDD ,"4,347,678","559,415,728.26",0.340,Pinduoduo Inc ADR,American Depository Receipt,Consumer Discretionary,04/21/2021
QQQ,025537101,AEP ,"6,249,688","558,409,622.80",0.339,American Electric Power Co Inc,Common Stock,Utilities,04/21/2021
QQQ,192446102,CTSH ,"6,677,708","529,208,359.00",0.322,Cognizant Technology Solutions Corp,Common Stock,Information Technology,04/21/2021
QQQ,278642103,EBAY ,"8,563,258","529,038,079.24",0.321,eBay Inc,Common Stock,Consumer Discretionary,04/21/2021
QQQ,595017104,MCHP ,"3,388,636","524,052,557.40",0.318,Microchip Technology Inc,Common Stock,Information Technology,04/21/2021
QQQ,09062X103,BIIB ,"1,917,085","517,325,387.25",0.314,Biogen Inc,Common Stock,Health Care,04/21/2021
QQQ,256163106,DOCU ,"2,347,785","515,010,117.60",0.313,DocuSign Inc,Common Stock,Information Technology,04/21/2021
QQQ,550021109,LULU ,"1,574,669","514,412,868.92",0.313,Lululemon Athletica Inc,Common Stock,Consumer Discretionary,04/21/2021
QQQ,285512109,EA ,"3,619,729","510,526,578.16",0.310,Electronic Arts Inc,Common Stock,Communication Services,04/21/2021
QQQ,127387108,CDNS ,"3,510,827","496,782,020.50",0.302,Cadence Design Systems Inc,Common Stock,Information Technology,04/21/2021
QQQ,252131107,DXCM ,"1,210,355","486,102,775.10",0.295,Dexcom Inc,Common Stock,Health Care,04/21/2021
QQQ,871607107,SNPS ,"1,917,560","484,298,953.60",0.294,Synopsys Inc,Common Stock,Information Technology,04/21/2021
QQQ,98389B100,XEL ,"6,766,315","482,573,585.80",0.293,Xcel Energy Inc,Common Stock,Utilities,04/21/2021
QQQ,57667L107,MTCH ,"3,384,953","477,447,620.65",0.290,Match Group Inc,Common Stock,Communication Services,04/21/2021
QQQ,67103H107,ORLY ,"883,544","471,158,673.44",0.286,O'Reilly Automotive Inc,Common Stock,Consumer Discretionary,04/21/2021
QQQ,015351109,ALXN ,"2,766,761","466,033,222.84",0.283,Alexion Pharmaceuticals Inc,Common Stock,Health Care,04/21/2021
QQQ,172908105,CTAS ,"1,321,803","459,524,812.95",0.279,Cintas Corp,Common Stock,Industrials,04/21/2021
