Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,45168D104,IDXX ,"1,070,061","596,601,809.94",0.364,IDEXX Laboratories Inc,Common Stock,Health Care,04/27/2021
QQQ,98138H101,WDAY ,"2,254,696","589,219,705.68",0.359,Workday Inc,Common Stock,Information Technology,04/27/2021
QQQ,778296103,ROST ,"4,465,265","576,778,280.05",0.351,Ross Stores Inc,Common Stock,Consumer Discretionary,04/27/2021
QQQ,931427108,WBA ,"10,823,346","568,333,898.46",0.346,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,04/27/2021
QQQ,30161N101,EXC ,"12,229,976","544,723,131.04",0.332,Exelon Corp,Common Stock,Utilities,04/27/2021
QQQ,025537101,AEP ,"6,220,708","542,445,737.60",0.331,American Electric Power Co Inc,Common Stock,Utilities,04/27/2021
QQQ,256163106,DOCU ,"2,336,895","537,532,587.90",0.328,DocuSign Inc,Common Stock,Information Technology,04/27/2021
QQQ,550021109,LULU ,"1,567,379","531,780,347.12",0.324,Lululemon Athletica Inc,Common Stock,Consumer Discretionary,04/27/2021
QQQ,57667L107,MTCH ,"3,369,248","531,667,334.40",0.324,Match Group Inc,Common Stock,Communication Services,04/27/2021
QQQ,192446102,CTSH ,"6,646,748","531,341,035.12",0.324,Cognizant Technology Solutions Corp,Common Stock,Information Technology,04/27/2021
QQQ,595017104,MCHP ,"3,372,931","531,202,903.19",0.324,Microchip Technology Inc,Common Stock,Information Technology,04/27/2021
QQQ,278642103,EBAY ,"8,523,523","525,901,369.10",0.320,eBay Inc,Common Stock,Consumer Discretionary,04/27/2021
QQQ,285512109,EA ,"3,602,944","516,878,346.24",0.315,Electronic Arts Inc,Common Stock,Communication Services,04/27/2021
QQQ,09062X103,BIIB ,"1,908,175","510,226,913.25",0.311,Biogen Inc,Common Stock,Health Care,04/27/2021
QQQ,252131107,DXCM ,"1,204,730","508,034,641.00",0.310,Dexcom Inc,Common Stock,Health Care,04/27/2021
QQQ,871607107,SNPS ,"1,908,650","480,407,205.00",0.293,Synopsys Inc,Common Stock,Information Technology,04/27/2021
QQQ,98389B100,XEL ,"6,734,950","471,446,500.00",0.287,Xcel Energy Inc,Common Stock,Utilities,04/27/2021
QQQ,67103H107,ORLY ,"879,449","468,438,509.85",0.285,O'Reilly Automotive Inc,Common Stock,Consumer Discretionary,04/27/2021
QQQ,127387108,CDNS ,"3,494,537","463,899,786.75",0.283,Cadence Design Systems Inc,Common Stock,Information Technology,04/27/2021
QQQ,172908105,CTAS ,"1,315,683","460,686,402.45",0.281,Cintas Corp,Common Stock,Industrials,04/27/2021
QQQ,015351109,ALXN ,"2,753,936","460,072,548.16",0.280,Alexion Pharmaceuticals Inc,Common Stock,Health Care,04/27/2021
QQQ,704326107,PAYX ,"4,517,401","447,764,787.12",0.273,Paychex Inc,Common Stock,Information Technology,04/27/2021
QQQ,679295105,OKTA ,"1,518,441","429,718,803.00",0.262,Okta Inc,Common Stock,Information Technology,04/27/2021
QQQ,64110W102,NTES ,"3,753,027","419,213,115.90",0.255,NetEase Inc ADR,American Depository Receipt,Communication Services,04/27/2021
QQQ,983919101,XLNX ,"3,072,470","410,512,716.70",0.250,Xilinx Inc,Common Stock,Information Technology,04/27/2021
QQQ,83088M102,SWKS ,"2,065,599","407,749,242.60",0.248,Skyworks Solutions Inc,Common Stock,Information Technology,04/27/2021
QQQ,03662Q105,ANSS ,"1,086,632","405,867,918.32",0.247,ANSYS Inc,Common Stock,Information Technology,04/27/2021
QQQ,693718108,PCAR ,"4,345,890","396,692,839.20",0.242,PACCAR Inc,Common Stock,Industrials,04/27/2021
QQQ,G06242104,TEAM ,"1,666,247","393,434,241.64",0.240,Atlassian Corp PLC,Common Stock,Information Technology,04/27/2021
QQQ,573874104,MRVL ,"8,415,234","386,511,697.62",0.236,Marvell Technology Inc,Common Stock,Information Technology,04/27/2021
QQQ,92345Y106,VRSK ,"2,039,221","381,742,171.20",0.233,Verisk Analytics Inc,Common Stock,Industrials,04/27/2021
QQQ,311900104,FAST ,"7,194,456","373,464,210.96",0.228,Fastenal Co,Common Stock,Industrials,04/27/2021
QQQ,217204106,CPRT ,"2,960,154","366,970,291.38",0.224,Copart Inc,Common Stock,Industrials,04/27/2021
QQQ,256746108,DLTR ,"2,946,132","338,834,641.32",0.206,Dollar Tree Inc,Common Stock,Consumer Discretionary,04/27/2021
QQQ,70614W100,PTON ,"3,302,437","337,971,402.58",0.206,Peloton Interactive Inc,Common Stock,Consumer Discretionary,04/27/2021
QQQ,81181C104,SGEN ,"2,269,347","327,330,611.28",0.199,Seagen Inc,Common Stock,Health Care,04/27/2021
QQQ,82968B103,SIRI ,"51,859,126","327,231,085.06",0.199,Sirius XM Holdings Inc,Common Stock,Communication Services,04/27/2021
QQQ,57772K101,MXIM ,"3,357,563","325,415,005.96",0.198,Maxim Integrated Products Inc,Common Stock,Information Technology,04/27/2021
QQQ,12514G108,CDW ,"1,766,103","324,062,239.47",0.197,CDW Corp/DE,Common Stock,Information Technology,04/27/2021
QQQ,92343E102,VRSN ,"1,416,635","311,730,531.75",0.190,VeriSign Inc,Common Stock,Information Technology,04/27/2021
QQQ,156782104,CERN ,"3,836,819","289,718,202.69",0.177,Cerner Corp,Common Stock,Health Care,04/27/2021
QQQ,89677Q107,TCOM ,"6,599,471","259,161,226.17",0.158,Trip.com Group Ltd ADR,American Depository Receipt,Consumer Discretionary,04/27/2021
QQQ,848637104,SPLK ,"2,025,759","258,061,439.01",0.157,Splunk Inc,Common Stock,Information Technology,04/27/2021
QQQ,45337C102,INCY ,"2,753,880","233,060,864.40",0.142,Incyte Corp,Common Stock,Health Care,04/27/2021
QQQ,M22465104,CHKP ,"1,756,192","208,793,666.88",0.127,Check Point Software Technologies Ltd,Common Stock,Information Technology,04/27/2021
QQQ,35137L105,FOXA ,"4,188,197","160,324,181.16",0.098,Fox Corp,Common Stock,Communication Services,04/27/2021
QQQ,35137L204,FOX ,"3,209,214","119,543,221.50",0.073,Fox Corp,Common Stock,Communication Services,04/27/2021
